Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
province;SL-E*;Eastern;;en;;
province;SL-NW*;North Western;;en;;
province;SL-N*;Northern;;en;;
province;SL-S*;Southern;;en;;
area;SL-W*;Western Area (Freetown);;en;;
