Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
region;SZ-HH*;Hhohho;;en;;
region;SZ-HH*;Hhohho;;ss;;
region;SZ-LU*;Lubombo;;en;;
region;SZ-LU*;Lubombo;;ss;;
region;SZ-MA*;Manzini;;en;;
region;SZ-MA*;Manzini;;ss;;
region;SZ-SH*;Shiselweni;;en;;
region;SZ-SH*;Shiselweni;;ss;;
