Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
province;CR-A;Alajuela;;es;;
province;CR-C;Cartago;;es;;
province;CR-G;Guanacaste;;es;;
province;CR-H;Heredia;;es;;
province;CR-L;Limón;;es;;
province;CR-P;Puntarenas;;es;;
province;CR-SJ;San José;;es;;
