Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
district;BZ-BZ;Belize;;en;;
district;BZ-CY;Cayo;;en;;
district;BZ-CZL;Corozal;;en;;
district;BZ-OW;Orange Walk;;en;;
district;BZ-SC;Stann Creek;;en;;
district;BZ-TOL;Toledo;;en;;
