Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
dependency;AG-10*;Barbuda;;en;;
dependency;AG-11*;Redonda;;en;;
parish;AG-03*;Saint George;;en;;
parish;AG-04*;Saint John;;en;;
parish;AG-05*;Saint Mary;;en;;
parish;AG-06*;Saint Paul;;en;;
parish;AG-07*;Saint Peter;;en;;
parish;AG-08*;Saint Philip;;en;;
