Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
municipality;GL-AV*;Avannaata Kommunia;;kl;;
municipality;GL-KU*;Kommune Kujalleq;;kl;;
municipality;GL-QT;Kommune Qeqertalik;;kl;;
municipality;GL-SM*;Kommuneqarfik Sermersooq;;kl;;
municipality;GL-QE*;Qeqqata Kommunia;;kl;;
