Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
state;FM-TRK;Chuuk;;en;;
state;FM-KSA;Kosrae;;en;;
state;FM-PNI;Pohnpei;;en;;
state;FM-YAP;Yap;;en;;
